plotnumber,treenumber,common name,dbh,,
14,7,Benguet Pine,33.5,,
14,8,Benguet Pine,32.95,,
14,9,Benguet Pine,31.1,,
14,10,Benguet Pine,53.5,,
14,11,Benguet Pine,31.1,,
14,12,Benguet Pine,30.6,,
14,13,Benguet Pine,44.1,,
14,14,Benguet Pine,35.3,,
14,15,Benguet Pine,64.7,,
14,16,Benguet Pine,59.7,,
14,17,Benguet Pine,54.9,,
14,18,Benguet Pine,80.23,,
14,19,Benguet Pine,60.2,,
14,20,Benguet Pine,50.1,,
14,21,Benguet Pine,60.25,,
14,22,Benguet Pine,50.78,,
14,23,Benguet Pine,39.7,,
14,24,Benguet Pine,69.6,,
14,25,Benguet Pine,49,,
14,26,Benguet Pine,50.9,,
14,27,Benguet Pine,45.3,,
14,28,Benguet Pine,40.5,,
14,29,Benguet Pine,43.2,,
15,1,Gmelina,54,,
15,2,Benguet Pine,71.6,,
15,3,Benguet Pine,70.7,,
15,4,Benguet Pine,70.4,,
15,5,Benguet Pine,60.4,,
15,6,Benguet Pine,50.34,,
16,1,Gmelina,36,,
16,2,Benguet Pine,58.8,,
16,3,Benguet Pine,83.2,,
16,4,Benguet Pine,62.7,,
16,5,Gmelina,30.9,,
16,6,Gmelina,35,,
16,7,Gmelina,68.8,,
16,8,Benguet Pine,61.9,,
16,9,Benguet Pine,31.5,,
16,10,Benguet Pine,32.1,,
16,11,Benguet Pine,109.9,,
16,12,Benguet Pine,55.8,,
16,13,Benguet Pine, 46.4 ,,
17,1,Benguet Pine,46.8,,
17,2,Benguet Pine,50.3,,
17,3,Benguet Pine,56.9,,
17,4,Benguet Pine,57.6,,
17,5,Benguet Pine,37.9,,
17,6,Benguet Pine,67.3,,
17,7,Benguet Pine,40,,
17,8,Benguet Pine,47.2,,
17,9,Benguet Pine,37.8,,
17,10,Benguet Pine,52.1,,
17,11,Benguet Pine,45.9,,
17,12,Benguet Pine,36.1,,
17,13,Benguet Pine,44.1,,
18,1,Benguet Pine,43,,
18,2,Benguet Pine,41.2,,
18,3,Benguet Pine,53.3,,
18,4,Benguet Pine,65,,
18,5,Benguet Pine,47.1,,
18,6,Benguet Pine,74,,
18,7,Benguet Pine,64.5,,
18,8,Benguet Pine,54.4,,
18,9,Benguet Pine,56,,
18,10,Benguet Pine,58.2,,
18,11,Benguet Pine,48.3,,
18,12,Benguet Pine,46.5,,
18,13,Benguet Pine,43.7,,
18,14,Benguet Pine,75.9,,
19,1,Benguet Pine,34.1,,
19,2,Benguet Pine,52.3,,
19,3,Benguet Pine,48,,
19,4,Benguet Pine,48.9,,
19,5,Benguet Pine,34.5,,
19,6,Benguet Pine,53.9,,
19,7,Benguet Pine,52.2,,
19,8,Benguet Pine,62.7,,
19,9,Benguet Pine,45.6,,
19,10,Benguet Pine,52,,
19,11,Benguet Pine,49,,
19,12,Benguet Pine,54.1,,
19,13,Benguet Pine,40.5,,
19,14,Benguet Pine,50.9,,
19,15,Benguet Pine,50,,
19,16,Benguet Pine,49.9,,
19,17,Benguet Pine,55.5,,
19,18,Benguet Pine,57,,
19,19,Benguet Pine,70.8,,
19,20,Benguet Pine,57.6,,
19,21,Benguet Pine,40.2,,
19,22,Benguet Pine,62.3,,
19,23,Benguet Pine,64.4,,
19,24,Benguet Pine,53.5,,
19,25,Benguet Pine,37,,
19,26,Benguet Pine,96.8,,
20,1,Benguet Pine,56.1,,
20,2,Benguet Pine,47.3,,
20,3,Benguet Pine,42.5,,
20,4,Benguet Pine,53.5,,
20,5,Benguet Pine,33.4,,
20,6,Benguet Pine,44.5,,
20,7,Benguet Pine,44,,
20,8,Benguet Pine,48.8,,
20,9,Benguet Pine,52.6,,
20,10,Benguet Pine,46,,
20,11,Benguet Pine,38.7,,
20,12,Benguet Pine,31.3,,
20,13,Benguet Pine,44.6,,
20,14,Benguet Pine,48.5,,
20,15,Benguet Pine,36.8,,
20,16,Benguet Pine,34.2,,
20,17,Benguet Pine,86,,
20,18,Benguet Pine,71.9,,
20,19,Benguet Pine,37.5,,
20,20,Benguet Pine,39.6,,
20,21,Benguet Pine,57.2,,
20,22,Benguet Pine,55.9,,
20,23,Benguet Pine,54.4,,
20,24,Benguet Pine,67.4,,
20,25,Benguet Pine,78.5,,
20,26,Benguet Pine,42,,
20,27,Benguet Pine,80.5,,
21,1,Benguet Pine,37,,
21,2,Benguet Pine,59.7,,
21,3,Benguet Pine,36.4,,
21,4,Benguet Pine,33.9,,
21,5,Benguet Pine,56.5,,
21,6,Benguet Pine,50,,
21,7,Benguet Pine,47.1,,
21,8,Benguet Pine,40.9,,
21,9,Benguet Pine,45.8,,
21,10,Benguet Pine,37.5,,
21,11,Benguet Pine,36.1,,
21,12,Benguet Pine,44.9,,
21,13,Benguet Pine,83.4,,
21,14,Benguet Pine,43.6,,
21,15,Benguet Pine,48,,
21,16,Benguet Pine,32.4,,
21,17,Benguet Pine,52.7,,
21,18,Benguet Pine,37,,
22,1,Benguet Pine,40.1,,
22,2,Benguet Pine,46.8,,
22,3,Benguet Pine,64.5,,
22,4,Benguet Pine,72,,
22,5,Benguet Pine,54.5,,
22,6,Benguet Pine,38.5,,
22,7,Benguet Pine,31.7,,
22,8,Benguet Pine,60.5,,
22,9,Benguet Pine,40.3,,
22,10,Benguet Pine,60.4,,
22,11,Benguet Pine,86.2,,
23,1,Benguet Pine,42.3,,
23,2,Benguet Pine,62,,
23,3,Benguet Pine,56.3,,
23,4,Benguet Pine,58.1,,
23,5,Benguet Pine,34.5,,
23,6,Benguet Pine,69.5,,
23,7,Benguet Pine,31.6,,
23,8,Benguet Pine,71.8,,
23,9,Benguet Pine,53.5,,
24,1,Benguet Pine,40.2,,
24,2,Benguet Pine,39.5,,
24,3,Benguet Pine,41,,
24,4,Benguet Pine,30.1,,
24,5,Benguet Pine,40.8,,
24,6,Benguet Pine,40.6,,
24,7,Benguet Pine,56.7,,
24,8,Benguet Pine,32.1,,
24,9,Benguet Pine,47.9,,
24,10,Benguet Pine,55.2,,
24,11,Benguet Pine,40.7,,
24,12,Benguet Pine,48.2,,
24,13,Benguet Pine,54.3,,
24,14,Benguet Pine,34.2,,
24,15,Benguet Pine,53.2,,
24,16,Benguet Pine,97.4,,
