plotnumber,treenumber,common name,dbh
8,24,Benguet Pine, 32.00 
8,25,Benguet Pine, 34.00 
8,26,Benguet Pine, 42.00 
8,27,Benguet Pine, 42.00 
8,28,Benguet Pine, 49.00 
8,29,Benguet Pine, 39.20 
9,1,Alnus, 30.03 
9,2,Alnus, 30.01 
10,1,Benguet Pine, 50.80 
10,2,Benguet Pine, 31.00 
10,3,Benguet Pine, 36.50 
11,1,Benguet Pine, 31.70 
11,2,Benguet Pine, 50.22 
11,3,Benguet Pine, 37.40 
11,4,Benguet Pine, 34.50 
11,5,Benguet Pine, 32.00 
11,6,Benguet Pine, 43.50 
11,7,Benguet Pine, 30.50 
11,8,Benguet Pine, 30.60 
11,9,Benguet Pine, 46.70 
11,10,Benguet Pine, 53.50 
11,11,Benguet Pine, 50.40 
11,12,Benguet Pine, 40.50 
11,13,Benguet Pine, 32.50 
11,14,Benguet Pine, 34.80 
11,15,Benguet Pine, 33.70 
11,16,Benguet Pine, 65.50 
11,17,Benguet Pine, 35.70 
11,18,Benguet Pine, 40.50 
11,19,Benguet Pine, 35.50 
12,1,Benguet Pine, 52.00 
12,2,Benguet Pine, 78.00 
12,3,Benguet Pine, 50.00 
12,4,Benguet Pine, 96.00 
12,5,Benguet Pine, 37.00 
12,6,Benguet Pine, 33.30 
12,7,Benguet Pine, 43.30 
12,8,Benguet Pine, 72.00 
12,9,Benguet Pine, 80.80 
12,10,Benguet Pine, 37.00 
12,11,Benguet Pine, 70.36 
12,12,Benguet Pine, 70.53 
13,1,Benguet Pine, 38.10 
13,2,Benguet Pine, 30.10 
13,3,Benguet Pine, 33.20 
13,4,Benguet Pine, 47.50 
13,5,Benguet Pine, 60.00 
13,6,Benguet Pine, 52.10 
13,7,Benguet Pine, 41.00 
13,8,Benguet Pine, 31.90 
13,9,Benguet Pine, 38.40 
13,10,Benguet Pine, 30.50 
13,11,Benguet Pine, 30.30 
13,12,Benguet Pine, 36.50 
13,13,Benguet Pine, 35.40 
13,14,Benguet Pine, 74.40 
13,15,Benguet Pine, 89.40 
13,16,Benguet Pine, 65.44 
14,1,Benguet Pine, 30.90 
14,2,Benguet Pine, 32.00 
14,3,Benguet Pine, 38.10 
14,4,Benguet Pine, 32.00 
14,5,Benguet Pine, 37.50 
14,6,Benguet Pine, 39.50 
14,7,Benguet Pine, 33.50 
14,8,Benguet Pine, 32.95 
14,9,Benguet Pine, 31.10 
14,10,Benguet Pine, 53.50 
14,11,Benguet Pine, 31.10 
14,12,Benguet Pine, 30.60 
14,13,Benguet Pine, 44.10 
14,14,Benguet Pine, 35.30 
14,15,Benguet Pine, 64.70 
14,16,Benguet Pine, 59.70 
14,17,Benguet Pine, 54.90 
14,18,Benguet Pine, 80.23 
14,19,Benguet Pine, 60.20 
14,20,Benguet Pine, 50.10 
14,21,Benguet Pine, 60.25 
14,22,Benguet Pine, 50.78 
14,23,Benguet Pine, 39.70 
14,24,Benguet Pine, 69.60 
14,25,Benguet Pine, 49.00 
14,26,Benguet Pine, 50.90 
14,27,Benguet Pine, 45.30 
14,28,Benguet Pine, 40.50 
14,29,Benguet Pine, 43.20 
15,1,Gmelina, 54.00 
15,2,Benguet Pine, 71.60 
15,3,Benguet Pine, 70.70 
15,4,Benguet Pine, 70.40 
15,5,Benguet Pine, 60.40 
15,6,Benguet Pine, 50.34 
16,1,Gmelina, 36.00 
16,2,Benguet Pine, 58.80 
16,3,Benguet Pine, 83.20 
16,4,Benguet Pine, 62.70 
16,5,Gmelina, 30.90 
16,6,Gmelina, 35.00 
16,7,Gmelina, 68.80 
16,8,Benguet Pine, 61.90 
16,9,Benguet Pine, 31.50 
16,10,Benguet Pine, 32.10 
16,11,Benguet Pine, 109.90 
16,12,Benguet Pine, 55.80 
17,1,Benguet Pine, 46.80 
